[DOMAIN:标签] [CAT:人物/对象] 1girl | 1个女孩
[DOMAIN:标签] [CAT:人物/头发发型] braid | 辫子
[DOMAIN:标签] [CAT:人物/性器官] penile | 阴茎
[DOMAIN:标签] [CAT:人物/头发发型] sidelocks | 鬓发
[DOMAIN:标签] [CAT:人物/头发发型] ponytail | 马尾
[DOMAIN:标签] [CAT:人物/身材] ass | 臀部
[DOMAIN:标签] [CAT:人物/腿部] thighs | 大腿
[DOMAIN:标签] [CAT:人物/头发发型] red_hair | 红发
[DOMAIN:标签] [CAT:人物/面部] fingers | 手指
[DOMAIN:标签] [CAT:人物/性器官] humanoid_genitalia | 人形生殖器
[DOMAIN:标签] [CAT:人物/对象] nude | 裸体
[DOMAIN:标签] [CAT:人物/胸部] small_breasts | 贫乳
[DOMAIN:标签] [CAT:人物/嘴巴] parted_lips | 微张嘴唇
[DOMAIN:标签] [CAT:人物/牙齿] teeth | 牙齿
[DOMAIN:标签] [CAT:人物/对象] biped | 双足站立
[DOMAIN:标签] [CAT:人物/性器官] humanoid_penis | 人形阴茎
[DOMAIN:标签] [CAT:人物/对象] multiple_boys | 多名男孩
[DOMAIN:标签] [CAT:人物/对象] horns | 角
[DOMAIN:标签] [CAT:人物/对象] humanoid | 人形生物
[DOMAIN:标签] [CAT:人物/头发发型] tuft | 簇毛
[DOMAIN:标签] [CAT:人物/翅膀] wings | 翅膀
[DOMAIN:标签] [CAT:人物/胸部] areola | 乳晕
[DOMAIN:标签] [CAT:人物/头发发型] green_hair | 绿发
[DOMAIN:标签] [CAT:人物/皮肤] brown_body | 棕色身体
[DOMAIN:标签] [CAT:人物/性器官] penis | 阴茎
[DOMAIN:标签] [CAT:人物/身份（职业）] virtual_youtuber | 虚拟主播
[DOMAIN:标签] [CAT:人物/面部] pointy_ears | 尖耳朵
[DOMAIN:标签] [CAT:人物/舌头] tongue | 吐舌
[DOMAIN:标签] [CAT:人物/对象] human | 人类
[DOMAIN:标签] [CAT:人物/头发发型] medium_hair | 中长发
[DOMAIN:标签] [CAT:人物/腿部] barefoot | 赤足
[DOMAIN:标签] [CAT:人物/身材] big_butt | 丰臀
[DOMAIN:标签] [CAT:人物/性器官] pussy | 阴部
[DOMAIN:标签] [CAT:人物/性器官] big_penis | 巨根
[DOMAIN:标签] [CAT:人物/皮肤] black_body | 黑色躯体
[DOMAIN:标签] [CAT:人物/皮肤] blue_body | 蓝色躯体
[DOMAIN:标签] [CAT:人物/皮肤] multicolored_body | 彩色躯体
[DOMAIN:标签] [CAT:人物/牙齿] fang | 虎牙
[DOMAIN:标签] [CAT:人物/皮肤] grey_body | 灰色躯体
[DOMAIN:标签] [CAT:人物/对象] 2boys | 双少年
[DOMAIN:标签] [CAT:人物/腰部] midriff | 露脐
[DOMAIN:标签] [CAT:人物/头发发型] blunt_bangs | 齐刘海
[DOMAIN:标签] [CAT:人物/皮肤] dark_skin | 深色皮肤
[DOMAIN:标签] [CAT:人物/指甲] 5_fingers | 五指
[DOMAIN:标签] [CAT:人物/舌头] tongue_out | 吐舌
[DOMAIN:标签] [CAT:人物/眼睛] pink_eyes | 粉色眼睛
[DOMAIN:标签] [CAT:人物/腹部] stomach | 腹部
[DOMAIN:标签] [CAT:人物/鼻子] black_nose | 黑鼻子
[DOMAIN:标签] [CAT:人物/面部] mole | 痣
[DOMAIN:标签] [CAT:人物/眉毛] eyebrows | 眉毛
[DOMAIN:标签] [CAT:人物/性器官] intersex | 双性
[DOMAIN:标签] [CAT:人物/性器官] cum | 精液
[DOMAIN:标签] [CAT:人物/头发发型] streaked_hair | 挑染发
[DOMAIN:标签] [CAT:人物/头发发型] hair_over_one_eye | 单遮眼发型
[DOMAIN:标签] [CAT:人物/头发发型] hair_bun | 发髻
[DOMAIN:标签] [CAT:人物/对象] 3girls | 三姐妹
[DOMAIN:标签] [CAT:人物/肩部] armpits | 腋下
[DOMAIN:标签] [CAT:人物/年龄] young | 年轻
[DOMAIN:标签] [CAT:人物/指甲] nail_polish | 美甲
[DOMAIN:标签] [CAT:人物/头发发型] two-tone_hair | 双色发
[DOMAIN:标签] [CAT:人物/头发发型] orange_hair | 橙色头发
[DOMAIN:标签] [CAT:人物/眼睛] black_eyes | 黑色眼睛
[DOMAIN:标签] [CAT:人物/皮肤] yellow_body | 黄色躯体
[DOMAIN:标签] [CAT:人物/身材] muscular_anthro | 肌肉人形
[DOMAIN:标签] [CAT:人物/身材] overweight | 超重
[DOMAIN:标签] [CAT:人物/性器官] knot | 阴茎膨大结
[DOMAIN:标签] [CAT:人物/性器官] big_balls | 巨睾
[DOMAIN:标签] [CAT:人物/皮肤] vein | 血管脉络
[DOMAIN:标签] [CAT:人物/胸部] huge_breasts | 巨乳
[DOMAIN:标签] [CAT:人物/胸部] pecs | 胸肌
[DOMAIN:标签] [CAT:人物/腿部] feet | 脚部
[DOMAIN:标签] [CAT:人物/性器官] vaginal_fluids | 阴道液
[DOMAIN:标签] [CAT:人物/皮肤] orange_body | 橙色身体
[DOMAIN:标签] [CAT:人物/对象] gynomorph | 雌性形态
[DOMAIN:标签] [CAT:人物/性器官] vaginal | 私处
[DOMAIN:标签] [CAT:人物/皮肤] tan_body | 褐色身体
[DOMAIN:标签] [CAT:人物/头发发型] parted_bangs | 中分刘海
[DOMAIN:标签] [CAT:人物/皮肤] two_tone_body | 双色身体
[DOMAIN:标签] [CAT:人物/对象] completely_nude | 全裸
[DOMAIN:标签] [CAT:人物/眼睛] grey_eyes | 灰色眼睛
[DOMAIN:标签] [CAT:人物/头发发型] twin_braids | 双辫
[DOMAIN:标签] [CAT:人物/指甲] fingernails | 指甲
[DOMAIN:标签] [CAT:人物/皮肤] dark-skinned_female | 深肤色女性
[DOMAIN:标签] [CAT:人物/头发发型] side_ponytail | 侧马尾
[DOMAIN:标签] [CAT:人物/眼睛] aqua_eyes | 水蓝色眼睛
[DOMAIN:标签] [CAT:人物/眉毛] v-shaped_eyebrows | V形眉
[DOMAIN:标签] [CAT:人物/胸部] flat_chest | 平胸
[DOMAIN:标签] [CAT:人物/头发发型] two_side_up | 两侧翘发
[DOMAIN:标签] [CAT:人物/性器官] canine_genitalia | 犬科生殖器
[DOMAIN:标签] [CAT:人物/眼睛] orange_eyes | 橙色眼睛
[DOMAIN:标签] [CAT:人物/面部] eyelashes | 睫毛
[DOMAIN:标签] [CAT:人物/对象] hybrid | 杂交种
[DOMAIN:标签] [CAT:人物/瞳孔] symbol-shaped_pupils | 符号状瞳孔
[DOMAIN:标签] [CAT:人物/对象] not_furry | 非兽人
[DOMAIN:标签] [CAT:人物/胸部] covered_nipples | 遮盖乳头
[DOMAIN:标签] [CAT:人物/皮肤] red_body | 红色身体
[DOMAIN:标签] [CAT:人物/皮肤] purple_body | 紫色身体
[DOMAIN:标签] [CAT:人物/面部] mole_under_eye | 眼下痣
[DOMAIN:标签] [CAT:人物/翅膀] cat_tail | 猫尾
[DOMAIN:标签] [CAT:人物/性器官] equine_genitalia | 马科生殖器
[DOMAIN:标签] [CAT:人物/皮肤] green_body | 绿色身体
[DOMAIN:标签] [CAT:人物/对象] animal_humanoid | 动物人形
[DOMAIN:标签] [CAT:人物/年龄] young_anthro | 年轻兽人
[DOMAIN:标签] [CAT:人物/腿部] toes | 脚趾
[DOMAIN:标签] [CAT:人物/牙齿] upper_teeth_only | 仅露上齿
[DOMAIN:标签] [CAT:人物/腿部] legs | 腿部
[DOMAIN:标签] [CAT:人物/对象] anthrofied | 拟人化
[DOMAIN:标签] [CAT:人物/身材] slightly_chubby | 微胖体型
[DOMAIN:标签] [CAT:人物/身份（职业）] femboy | 伪娘
[DOMAIN:标签] [CAT:人物/皮肤] wet | 湿身
[DOMAIN:标签] [CAT:人物/年龄] loli | 萝莉
[DOMAIN:标签] [CAT:人物/身份（职业）] maid | 女仆
[DOMAIN:标签] [CAT:人物/性器官] groin | 腹股沟
[DOMAIN:标签] [CAT:人物/对象] no_humans | 无人类
[DOMAIN:标签] [CAT:人物/身材] muscular | 肌肉发达
[DOMAIN:标签] [CAT:人物/嘴巴] lips | 嘴唇
[DOMAIN:标签] [CAT:人物/头发发型] tan_fur | 褐色毛发
[DOMAIN:标签] [CAT:人物/皮肤] bare_arms | 裸露手臂
[DOMAIN:标签] [CAT:人物/头发发型] gradient_hair | 渐变发
[DOMAIN:标签] [CAT:人物/身份（职业）] cosplay | 角色扮演
[DOMAIN:标签] [CAT:人物/性器官] pubic_hair | 阴毛
[DOMAIN:标签] [CAT:人物/性器官] equine_penis | 马科阴茎
[DOMAIN:标签] [CAT:人物/对象] bare_legs | 裸腿
[DOMAIN:标签] [CAT:人物/皮肤] tattoo | 纹身
[DOMAIN:标签] [CAT:人物/皮肤] pink_body | 粉色身体
[DOMAIN:标签] [CAT:人物/腰部] covered_navel | 遮住肚脐
[DOMAIN:标签] [CAT:人物/皮肤] colored_skin | 有色皮肤
[DOMAIN:标签] [CAT:人物/腰部] huge_butt | 巨臀
[DOMAIN:标签] [CAT:人物/头发发型] single_braid | 单马尾辫
[DOMAIN:标签] [CAT:人物/胸部] non-mammal_breasts | 非哺乳类乳房
[DOMAIN:标签] [CAT:人物/对象] two_tone_fur | 双色皮毛
[DOMAIN:标签] [CAT:人物/头发发型] floating_hair | 飘浮发丝
[DOMAIN:标签] [CAT:人物/头发发型] double_bun | 双丸子头
[DOMAIN:标签] [CAT:人物/对象] mostly_nude | 半裸
[DOMAIN:标签] [CAT:人物/皮肤] shiny_skin | 光泽肌肤
[DOMAIN:标签] [CAT:人物/面部] makeup | 妆容
[DOMAIN:标签] [CAT:人物/身材] overweight_male | 超重男性
[DOMAIN:标签] [CAT:人物/面部] facial_hair | 面部毛发
[DOMAIN:标签] [CAT:人物/身材] curvy_figure | 曲线身材
[DOMAIN:标签] [CAT:人物/对象] kemono | 兽人
[DOMAIN:标签] [CAT:人物/性器官] pubes | 阴毛
[DOMAIN:标签] [CAT:人物/头发发型] aqua_hair | 水色头发
[DOMAIN:标签] [CAT:人物/头发发型] swept_bangs | 斜刘海
[DOMAIN:标签] [CAT:人物/对象] horse_ears | 马耳
[DOMAIN:标签] [CAT:人物/胸部] sideboob | 侧乳
[DOMAIN:标签] [CAT:人物/对象] 4_fingers | 四指
[DOMAIN:标签] [CAT:人物/性器官] anus | 肛门
[DOMAIN:标签] [CAT:人物/身份（职业）] horse_girl | 马娘
[DOMAIN:标签] [CAT:人物/头发发型] hair_intakes | 发束
[DOMAIN:标签] [CAT:人物/眼睛] heterochromia | 异色瞳
[DOMAIN:标签] [CAT:人物/皮肤] skindentation | 皮肤压痕
[DOMAIN:标签] [CAT:人物/嘴巴] saliva | 唾液
[DOMAIN:标签] [CAT:人物/头发发型] low_twintails | 低双马尾
[DOMAIN:标签] [CAT:人物/对象] 4girls | 4女孩
[DOMAIN:标签] [CAT:人物/皮肤] scar | 疤痕
[DOMAIN:标签] [CAT:人物/性器官] pussy_juice | 爱液
[DOMAIN:标签] [CAT:人物/身份（职业）] siblings | 兄弟姐妹
[DOMAIN:标签] [CAT:人物/瞳孔] pupils | 瞳孔
[DOMAIN:标签] [CAT:人物/头发发型] alternate_hairstyle | 替代发型
[DOMAIN:标签] [CAT:人物/面部] humanoid_hands | 类人手部
[DOMAIN:标签] [CAT:人物/身材] larger_male | 壮硕男性
[DOMAIN:标签] [CAT:人物/胸部] pink_nipples | 粉色乳头
[DOMAIN:标签] [CAT:人物/牙齿] nose_blush | 鼻部腮红
[DOMAIN:标签] [CAT:人物/头发发型] one_side_up | 单侧上翘
[DOMAIN:标签] [CAT:人物/翅膀] fox_tail | 狐狸尾巴
[DOMAIN:标签] [CAT:人物/牙齿] fangs | 尖牙
[DOMAIN:标签] [CAT:人物/对象] female/female | 女性/女性
[DOMAIN:标签] [CAT:人物/头发发型] wavy_hair | 波浪发
[DOMAIN:标签] [CAT:人物/腿部] soles | 脚底
[DOMAIN:标签] [CAT:人物/牙齿] blush_stickers | 腮红贴纸
[DOMAIN:标签] [CAT:人物/身材] thick_thighs | 粗大腿
[DOMAIN:标签] [CAT:人物/面部] faceless_character | 无面角色
[DOMAIN:标签] [CAT:人物/眉毛] thick_eyebrows | 浓眉毛
[DOMAIN:标签] [CAT:人物/对象] mammal_humanoid | 哺乳类人形
[DOMAIN:标签] [CAT:人物/身材] muscular_male | 肌肉男性
[DOMAIN:标签] [CAT:人物/面部] facial_mark | 面部标记
[DOMAIN:标签] [CAT:人物/性器官] cameltoe | 骆驼趾
[DOMAIN:标签] [CAT:人物/性器官] erection | 勃起
[DOMAIN:标签] [CAT:人物/性器官] bottomless | 下半身裸露
[DOMAIN:标签] [CAT:人物/腰部] abs | 腹肌
[DOMAIN:标签] [CAT:人物/性器官] huge_balls | 巨大睾丸
[DOMAIN:标签] [CAT:人物/眼睛] half-closed_eyes | 半闭眼
[DOMAIN:标签] [CAT:人物/胸部] pectorals | 胸肌
[DOMAIN:标签] [CAT:人物/头发发型] bob_cut | 波波头
[DOMAIN:标签] [CAT:人物/肩部] back | 背部
[DOMAIN:标签] [CAT:人物/头发发型] cheek_tuft | 颊簇毛
[DOMAIN:标签] [CAT:人物/皮肤] dark-skinned_male | 深色皮肤男性
[DOMAIN:标签] [CAT:人物/头发发型] drill_hair | 钻头卷发
[DOMAIN:标签] [CAT:人物/对象] cat_girl | 猫娘
[DOMAIN:标签] [CAT:人物/性器官] testicles | 睾丸
[DOMAIN:标签] [CAT:人物/性器官] female_pubic_hair | 女性阴毛
[DOMAIN:标签] [CAT:人物/瞳孔] heart-shaped_pupils | 心形瞳孔
[DOMAIN:标签] [CAT:人物/对象] 6+girls | 六人以上女性
[DOMAIN:标签] [CAT:人物/翅膀] demon_horns | 恶魔角
[DOMAIN:标签] [CAT:人物/牙齿] sharp_teeth | 尖牙
[DOMAIN:标签] [CAT:人物/瞳孔] bright_pupils | 明亮瞳孔
[DOMAIN:标签] [CAT:人物/翅膀] wolf_ears | 狼耳
[DOMAIN:标签] [CAT:人物/身材] voluptuous | 丰腴体态
[DOMAIN:标签] [CAT:人物/身份（职业）] demon_girl | 恶魔少女
[DOMAIN:标签] [CAT:人物/性器官] glans | 龟头
[DOMAIN:标签] [CAT:人物/身材] thigh_gap | 大腿缝
[DOMAIN:标签] [CAT:人物/头发发型] high_ponytail | 高马尾
[DOMAIN:标签] [CAT:人物/头发发型] antenna_hair | 天线发
[DOMAIN:标签] [CAT:人物/身份（职业）] magical_girl | 魔法少女
[DOMAIN:标签] [CAT:人物/身份（职业）] submissive_male | 顺从男性
[DOMAIN:标签] [CAT:人物/头发发型] hair_tubes | 管状发
[DOMAIN:标签] [CAT:人物/头发发型] colored_inner_hair | 挑染发
[DOMAIN:标签] [CAT:人物/身份（职业）] fox_girl | 狐娘
[DOMAIN:标签] [CAT:人物/对象] furry | 兽人
[DOMAIN:标签] [CAT:人物/对象] 3boys | 三少年
[DOMAIN:标签] [CAT:人物/指甲] black_nails | 黑色指甲
[DOMAIN:标签] [CAT:人物/胸部] topless | 裸上身
[DOMAIN:标签] [CAT:人物/腿部] hindpaw | 后爪
[DOMAIN:标签] [CAT:人物/对象] long_ears | 长耳
[DOMAIN:标签] [CAT:人物/头发发型] two_tone_hair | 双色发
[DOMAIN:标签] [CAT:人物/对象] 1other | 其他1人
[DOMAIN:标签] [CAT:人物/性器官] hyper_penis | 巨阴茎
[DOMAIN:标签] [CAT:人物/对象] couple | 情侣
[DOMAIN:标签] [CAT:人物/身份（职业）] elf | 精灵
[DOMAIN:标签] [CAT:人物/头发发型] spiked_hair | 刺猬头
[DOMAIN:标签] [CAT:人物/头发发型] single_hair_bun | 单发髻
[DOMAIN:标签] [CAT:人物/身份（职业）] crossgender | 跨性别
[DOMAIN:标签] [CAT:人物/牙齿] clenched_teeth | 咬紧牙关
[DOMAIN:标签] [CAT:人物/面部] humanoid_pointy_ears | 类人尖耳
[DOMAIN:标签] [CAT:人物/头发发型] horse_tail | 马尾辫
[DOMAIN:标签] [CAT:人物/面部] light_blush | 淡红晕
[DOMAIN:标签] [CAT:人物/眼睛] slit_pupils | 竖瞳
[DOMAIN:标签] [CAT:人物/身份（职业）] robot | 机器人
[DOMAIN:标签] [CAT:人物/年龄] aged_down | 幼龄化
[DOMAIN:标签] [CAT:人物/身材] big_muscles | 壮硕肌肉
[DOMAIN:标签] [CAT:人物/头发发型] straight_hair | 直发
[DOMAIN:标签] [CAT:人物/身份（职业）] sisters | 姐妹
[DOMAIN:标签] [CAT:人物/胸部] breasts_out | 胸部裸露
[DOMAIN:标签] [CAT:人物/瞳孔] white_pupils | 白色瞳孔
[DOMAIN:标签] [CAT:人物/年龄] smaller_female | 娇小女性
[DOMAIN:标签] [CAT:人物/翅膀] rabbit_tail | 兔尾
[DOMAIN:标签] [CAT:人物/翅膀] feathered_wings | 羽翼
[DOMAIN:标签] [CAT:人物/头发发型] messy_hair | 凌乱发型
[DOMAIN:标签] [CAT:人物/头发发型] short_twintails | 短双马尾
[DOMAIN:标签] [CAT:人物/身份（职业）] monster_girl | 魔物娘
[DOMAIN:标签] [CAT:人物/翅膀] bat_wings | 蝙蝠翅膀
[DOMAIN:标签] [CAT:人物/面部] extra_ears | 附加耳
[DOMAIN:标签] [CAT:人物/性器官] pink_penis | 粉色阴茎
[DOMAIN:标签] [CAT:人物/牙齿] skin_fang | 虎牙
[DOMAIN:标签] [CAT:人物/皮肤] tan | 晒黑
[DOMAIN:标签] [CAT:人物/对象] 5girls | 5名女孩
[DOMAIN:标签] [CAT:人物/面部] dog_ears | 犬耳
[DOMAIN:标签] [CAT:人物/翅膀] demon_tail | 恶魔尾巴
[DOMAIN:标签] [CAT:人物/腿部] 5_toes | 五趾
[DOMAIN:标签] [CAT:人物/胸部] pink_areola | 粉色乳晕
[DOMAIN:标签] [CAT:人物/胸部] nipple_outline | 乳头轮廓
[DOMAIN:标签] [CAT:人物/指甲] red_nails | 红色指甲
[DOMAIN:标签] [CAT:人物/头发发型] crossed_bangs | 交叉刘海
[DOMAIN:标签] [CAT:人物/嘴巴] lipstick | 唇彩
[DOMAIN:标签] [CAT:人物/身份（职业）] otoko_no_ko | 男娘
[DOMAIN:标签] [CAT:人物/腿部] humanoid_feet | 类人足部
[DOMAIN:标签] [CAT:人物/年龄] child | 儿童
[DOMAIN:标签] [CAT:人物/面部] scar_on_face | 面部伤疤
[DOMAIN:标签] [CAT:人物/胸部] erect_nipples | 勃起乳头
[DOMAIN:标签] [CAT:人物/牙齿] buckteeth | 龅牙
[DOMAIN:标签] [CAT:人物/指甲] nails | 指甲
[DOMAIN:标签] [CAT:人物/头发发型] hair_over_shoulder | 披肩发
[DOMAIN:标签] [CAT:人物/身份（职业）] dominant_male | 支配性男性
[DOMAIN:标签] [CAT:人物/皮肤] pale_skin | 苍白皮肤
[DOMAIN:标签] [CAT:人物/指甲] claws | 利爪
[DOMAIN:标签] [CAT:人物/头发发型] side_braid | 侧编发
[DOMAIN:标签] [CAT:人物/胸部] hyper_breasts | 超巨乳
[DOMAIN:标签] [CAT:人物/翅膀] multiple_tails | 多条尾巴
[DOMAIN:标签] [CAT:人物/头发发型] low_ponytail | 低马尾
[DOMAIN:标签] [CAT:人物/年龄] mature_anthro | 成熟兽人
[DOMAIN:标签] [CAT:人物/对象] female_anthro | 女性兽人
[DOMAIN:标签] [CAT:人物/面部] mole_under_mouth | 唇下痣
[DOMAIN:标签] [CAT:人物/指甲] toenails | 脚趾甲
[DOMAIN:标签] [CAT:人物/皮肤] facial_markings | 面部斑纹
[DOMAIN:标签] [CAT:人物/性器官] pelvic_curtain | 耻帘
[DOMAIN:标签] [CAT:人物/面部] beard | 胡须
[DOMAIN:标签] [CAT:人物/胸部] large_pectorals | 厚实胸肌
[DOMAIN:标签] [CAT:人物/胸部] lactating | 泌乳
[DOMAIN:标签] [CAT:人物/胸部] between_breasts | 乳沟
[DOMAIN:标签] [CAT:人物/对象] genderswap | 性别转换
[DOMAIN:标签] [CAT:人物/鼻子] dot_nose | 圆点鼻
[DOMAIN:标签] [CAT:人物/性器官] male_pubic_hair | 男性阴毛
[DOMAIN:标签] [CAT:人物/指甲] blue_nails | 蓝色指甲
[DOMAIN:标签] [CAT:人物/头发发型] twin_drills | 双螺旋卷
[DOMAIN:标签] [CAT:人物/面部] eyeshadow | 眼影
[DOMAIN:标签] [CAT:人物/指甲] pink_nails | 粉色指甲
[DOMAIN:标签] [CAT:人物/胸部] alternate_breast_size | 可变乳量
[DOMAIN:标签] [CAT:人物/头发发型] short_hair_with_long_locks | 短发配长缕
[DOMAIN:标签] [CAT:人物/面部] third_eye | 第三只眼
[DOMAIN:标签] [CAT:人物/胸部] areola_slip | 乳晕滑露
[DOMAIN:标签] [CAT:人物/性器官] puffy_anus | 肛门肿胀
[DOMAIN:标签] [CAT:人物/眼睛] glowing_eyes | 发光眼睛
[DOMAIN:标签] [CAT:人物/身份（职业）] androgynous | 中性风
[DOMAIN:标签] [CAT:人物/年龄] young_male | 年轻男性
[DOMAIN:标签] [CAT:人物/眼睛] colored_sclera | 彩色巩膜
[DOMAIN:标签] [CAT:人物/胸部] breasts_apart | 双乳分离
[DOMAIN:标签] [CAT:人物/对象] intersex/female | 双性/女性
[DOMAIN:标签] [CAT:人物/身材] short_stack | 矮胖体型
[DOMAIN:标签] [CAT:人物/翅膀] black_wings | 黑色翅膀
[DOMAIN:标签] [CAT:人物/面部] faceless | 无面
[DOMAIN:标签] [CAT:人物/面部] forehead | 额头
[DOMAIN:标签] [CAT:人物/身材] curvy | 曲线丰满
[DOMAIN:标签] [CAT:人物/胸部] big_areola | 大乳晕
[DOMAIN:标签] [CAT:人物/对象] intersex/male | 双性/男性
[DOMAIN:标签] [CAT:人物/面部] dragon_horns | 龙角
[DOMAIN:标签] [CAT:人物/头发发型] head_tuft | 头冠毛
[DOMAIN:标签] [CAT:人物/胸部] flat_chested | 平胸
[DOMAIN:标签] [CAT:人物/身份（职业）] dominant_female | 强势女性
[DOMAIN:标签] [CAT:人物/头发发型] wolf_tail | 狼尾
[DOMAIN:标签] [CAT:人物/头发发型] hair_flaps | 鬓发
[DOMAIN:标签] [CAT:人物/头发发型] low-tied_long_hair | 低束长发
[DOMAIN:标签] [CAT:人物/皮肤] white_skin | 白色肌肤
[DOMAIN:标签] [CAT:人物/翅膀] demon_wings | 恶魔翅膀
[DOMAIN:标签] [CAT:人物/牙齿] cute_fangs | 可爱尖牙
[DOMAIN:标签] [CAT:人物/皮肤] veins | 青筋
[DOMAIN:标签] [CAT:人物/眼睛] tsurime | 吊眼
[DOMAIN:标签] [CAT:人物/皮肤] freckles | 雀斑
[DOMAIN:标签] [CAT:人物/身份（职业）] indie_virtual_youtuber | 独立虚拟主播
[DOMAIN:标签] [CAT:人物/性器官] camel_toe | 骆驼趾
[DOMAIN:标签] [CAT:人物/对象] topless_male | 赤裸上身的男性
[DOMAIN:标签] [CAT:人物/身份（职业）] submissive_female | 顺从女性
[DOMAIN:标签] [CAT:人物/身份（职业）] dual_persona | 双重人格
[DOMAIN:标签] [CAT:人物/面部] one_eye_covered | 遮单眼
[DOMAIN:标签] [CAT:人物/胸部] big_nipples | 巨乳头
[DOMAIN:标签] [CAT:人物/身份（职业）] dragon_girl | 龙娘
[DOMAIN:标签] [CAT:人物/头发发型] official_alternate_hairstyle | 官方替换发型
[DOMAIN:标签] [CAT:人物/年龄] young_female | 年轻女性
[DOMAIN:标签] [CAT:人物/身材] wide_hips | 宽胯
[DOMAIN:标签] [CAT:人物/头发发型] half_updo | 半扎发
[DOMAIN:标签] [CAT:人物/面部] big_ears | 大耳朵
[DOMAIN:标签] [CAT:人物/身材] toned | 健美体型
[DOMAIN:标签] [CAT:人物/身份（职业）] genderswap_(mtf) | 性别转换（男变女）
[DOMAIN:标签] [CAT:人物/性器官] thick_penis | 粗大阴茎
[DOMAIN:标签] [CAT:人物/面部] 3_fingers | 三根手指
[DOMAIN:标签] [CAT:人物/面部] single_horn | 独角
[DOMAIN:标签] [CAT:人物/头发发型] hair_over_eye | 遮眼发
[DOMAIN:标签] [CAT:人物/年龄] mature_male | 成熟男性
[DOMAIN:标签] [CAT:人物/翅膀] angel_wings | 天使翅膀
