[DOMAIN:标签] [CAT:场景/自然户外] outdoors | 户外
[DOMAIN:标签] [CAT:场景/特殊场所] disneyland | 迪士尼乐园
[DOMAIN:标签] [CAT:场景/城市街景] subway | 地铁
[DOMAIN:标签] [CAT:场景/公共设施] supermarket | 超市
[DOMAIN:标签] [CAT:场景/室内家居] hotel_room | 酒店房间
[DOMAIN:标签] [CAT:场景/特殊场所] empty_pool | 空游泳池
[DOMAIN:标签] [CAT:场景/城市街景] factory | 工厂
[DOMAIN:标签] [CAT:场景/其他] france | 法国
[DOMAIN:标签] [CAT:场景/室内家居] wooden_door | 木门
[DOMAIN:标签] [CAT:场景/城市街景] overhead_line | 架空线路
[DOMAIN:标签] [CAT:场景/自然户外] farm | 农场
[DOMAIN:标签] [CAT:场景/城市街景] brick_road | 砖路
[DOMAIN:标签] [CAT:场景/城市街景] parking_lot | 停车场
[DOMAIN:标签] [CAT:场景/其他] love_hotel | 爱情旅馆
[DOMAIN:标签] [CAT:场景/特殊场所] casino_card_table | 赌场牌桌
[DOMAIN:标签] [CAT:场景/自然户外] nest | 巢穴
[DOMAIN:标签] [CAT:场景/公共设施] escalator | 自动扶梯
[DOMAIN:标签] [CAT:场景/室内家居] on_stairs | 在楼梯上
[DOMAIN:标签] [CAT:场景/奇幻幻想] cathedral | 大教堂
[DOMAIN:标签] [CAT:场景/公共设施] aogiri_koukou | 青桐高校
[DOMAIN:标签] [CAT:场景/自然户外] well | 水井
[DOMAIN:标签] [CAT:场景/奇幻幻想] sunken_fossil_world | 沉没化石世界
[DOMAIN:标签] [CAT:场景/特殊场所] lantern_festival | 元宵节
[DOMAIN:标签] [CAT:场景/其他] in_bottle | 瓶中
[DOMAIN:标签] [CAT:场景/室内家居] otaku_room | 御宅族房间
[DOMAIN:标签] [CAT:场景/其他] china | 中国
[DOMAIN:标签] [CAT:场景/交通载具] airplane_interior | 机舱内部
[DOMAIN:标签] [CAT:场景/特殊场所] comiket_105 | Comic Market 105
[DOMAIN:标签] [CAT:场景/其他] truss | 桁架
[DOMAIN:标签] [CAT:场景/特殊场所] stage_curtains | 舞台幕布
[DOMAIN:标签] [CAT:场景/特殊场所] kodomo_no_hi | 儿童日
[DOMAIN:标签] [CAT:场景/城市街景] spire | 尖塔
[DOMAIN:标签] [CAT:场景/特殊场所] comiket_94 | 第94届 Comic Market
[DOMAIN:标签] [CAT:场景/奇幻幻想] foster's_home_for_imaginary_friends | 亲亲麻吉欢乐屋
[DOMAIN:标签] [CAT:场景/城市街景] tokyo_tower | 东京塔
[DOMAIN:标签] [CAT:场景/其他] slave_auction | 奴隶拍卖
[DOMAIN:标签] [CAT:场景/奇幻幻想] doseisan | 土星山
[DOMAIN:标签] [CAT:场景/奇幻幻想] amayadori_machi | 雨宿町
[DOMAIN:标签] [CAT:场景/室内家居] bamboo_screen | 竹帘
[DOMAIN:标签] [CAT:场景/其他] aerial_battle | 空中战斗
[DOMAIN:标签] [CAT:场景/室内家居] wooden_ceiling | 木质天花板
[DOMAIN:标签] [CAT:场景/室内家居] through_window | 透过窗户
[DOMAIN:标签] [CAT:场景/城市街景] gothic_architecture | 哥特式建筑
[DOMAIN:标签] [CAT:场景/其他] united_kingdom | 英国
[DOMAIN:标签] [CAT:场景/公共设施] laundromat | 自助洗衣店
[DOMAIN:标签] [CAT:场景/室内家居] booth | 隔间
[DOMAIN:标签] [CAT:场景/自然户外] wooden_bridge | 木桥
[DOMAIN:标签] [CAT:场景/公共设施] airport | 机场
[DOMAIN:标签] [CAT:场景/城市街景] highway | 高速公路
[DOMAIN:标签] [CAT:场景/奇幻幻想] space_station | 空间站
[DOMAIN:标签] [CAT:场景/特殊场所] tea_party | 茶会
[DOMAIN:标签] [CAT:场景/公共设施] tavern | 酒馆
[DOMAIN:标签] [CAT:场景/其他] car_wash | 洗车
[DOMAIN:标签] [CAT:场景/公共设施] battle_girl_high_school | 战斗女子高中
[DOMAIN:标签] [CAT:场景/其他] trellis | 格架
[DOMAIN:标签] [CAT:场景/特殊场所] comiket_99 | 第99届漫画市场
[DOMAIN:标签] [CAT:场景/自然户外] gazebo | 观景亭
[DOMAIN:标签] [CAT:场景/特殊场所] horse_racing_track | 赛马场
[DOMAIN:标签] [CAT:场景/其他] in_locker | 储物柜内
[DOMAIN:标签] [CAT:场景/奇幻幻想] gensokyo | 幻想乡
[DOMAIN:标签] [CAT:场景/其他] bamboo_fence | 竹篱笆
[DOMAIN:标签] [CAT:场景/其他] world_war_i | 第一次世界大战
[DOMAIN:标签] [CAT:场景/其他] in_cage | 笼中
[DOMAIN:标签] [CAT:场景/特殊场所] on_stage | 舞台上
[DOMAIN:标签] [CAT:场景/自然户外] snow_shelter | 雪屋
[DOMAIN:标签] [CAT:场景/室内家居] wainscoting | 护墙板
[DOMAIN:标签] [CAT:场景/其他] hole_in_wall | 墙洞
[DOMAIN:标签] [CAT:场景/室内家居] stairwell | 楼梯井
[DOMAIN:标签] [CAT:场景/特殊场所] birthday_party | 生日派对
[DOMAIN:标签] [CAT:场景/奇幻幻想] bunny_garden | 兔园
[DOMAIN:标签] [CAT:场景/特殊场所] maid_cafe | 女仆咖啡厅
[DOMAIN:标签] [CAT:场景/公共设施] basketball_court | 篮球场
[DOMAIN:标签] [CAT:场景/公共设施] izakaya | 居酒屋
[DOMAIN:标签] [CAT:场景/城市街景] eiffel_tower | 埃菲尔铁塔
[DOMAIN:标签] [CAT:场景/其他] brazil | 巴西
[DOMAIN:标签] [CAT:场景/城市街景] ole_tower | 奥利塔
[DOMAIN:标签] [CAT:场景/自然户外] on_flower | 在花上
[DOMAIN:标签] [CAT:场景/城市街景] scaffolding | 脚手架
[DOMAIN:标签] [CAT:场景/其他] houkago_play | 课后游戏
[DOMAIN:标签] [CAT:场景/奇幻幻想] akershus_fortress_(oshiro_project) | 阿克斯胡斯城堡（御城计划）
[DOMAIN:标签] [CAT:场景/室内家居] on_wall | 墙上
[DOMAIN:标签] [CAT:场景/其他] 7-eleven | 45849
[DOMAIN:标签] [CAT:场景/自然户外] shipwreck | 沉船
[DOMAIN:标签] [CAT:场景/交通载具] pirate_ship | 海盗船
[DOMAIN:标签] [CAT:场景/自然户外] savannah | 萨凡纳
[DOMAIN:标签] [CAT:场景/室内家居] spiral_staircase | 螺旋楼梯
[DOMAIN:标签] [CAT:场景/自然户外] floral_arch | 花拱门
