[DOMAIN:标签] [CAT:表情动作/笑] smile | 微笑
[DOMAIN:标签] [CAT:表情动作/其他表情] heavy_breathing | 沉重呼吸
[DOMAIN:标签] [CAT:表情动作/基础动作] walking | 行走
[DOMAIN:标签] [CAT:表情动作/手部动作] clothing_lift | 衣物掀起
[DOMAIN:标签] [CAT:表情动作/性爱动作] after_sex | 事后
[DOMAIN:标签] [CAT:表情动作/手部动作] arm_behind_back | 背后手臂
[DOMAIN:标签] [CAT:表情动作/基础动作] wading | 涉水
[DOMAIN:标签] [CAT:表情动作/性爱动作] penis_lick | 舔舐阴茎
[DOMAIN:标签] [CAT:表情动作/性爱动作] ambiguous_penetration | 模糊插入
[DOMAIN:标签] [CAT:表情动作/基础动作] between_legs | 双腿之间
[DOMAIN:标签] [CAT:表情动作/其他表情] furrowed_brow | 皱眉
[DOMAIN:标签] [CAT:表情动作/性爱动作] handjob | 手交
[DOMAIN:标签] [CAT:表情动作/性爱动作] clothed_sex | 着衣性爱
[DOMAIN:标签] [CAT:表情动作/性爱动作] masturbation | 自慰
[DOMAIN:标签] [CAT:表情动作/哭] crying_with_eyes_open | 睁眼哭泣
[DOMAIN:标签] [CAT:表情动作/手部动作] hands_behind_back | 背后交握
[DOMAIN:标签] [CAT:表情动作/基础动作] arm_behind_head | 手臂枕头
[DOMAIN:标签] [CAT:表情动作/腿部动作] legs_up | 抬腿
[DOMAIN:标签] [CAT:表情动作/其他动作] partially_submerged | 部分浸没
[DOMAIN:标签] [CAT:表情动作/其他表情] looking_at_partner | 注视伴侣
[DOMAIN:标签] [CAT:表情动作/其他表情] spoken_ellipsis | 说话省略
[DOMAIN:标签] [CAT:表情动作/蔑视] jitome | 冷眼
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_in_pocket | 手插口袋
[DOMAIN:标签] [CAT:表情动作/手抓着某物] hand_in_own_hair | 手抓自己头发
[DOMAIN:标签] [CAT:表情动作/腿部动作] legs_apart | 分腿站立
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_another's_head | 手放他人头上
[DOMAIN:标签] [CAT:表情动作/性爱动作] vaginal_masturbation | 阴道自慰
[DOMAIN:标签] [CAT:表情动作/性爱动作] missionary_position | 传教士体位
[DOMAIN:标签] [CAT:表情动作/基础动作] dress_lift | 提裙
[DOMAIN:标签] [CAT:表情动作/性爱动作] human_penetrating_anthro | 人类插入兽人
[DOMAIN:标签] [CAT:表情动作/其他动作] flying | 飞行
[DOMAIN:标签] [CAT:表情动作/性爱动作] imminent_sex | 交媾在即
[DOMAIN:标签] [CAT:表情动作/性爱动作] fingering | 指交
[DOMAIN:标签] [CAT:表情动作/性爱动作] anthro_on_feral | 兽人主导动物
[DOMAIN:标签] [CAT:表情动作/性爱动作] titfuck | 乳交
[DOMAIN:标签] [CAT:表情动作/手部动作] hands_behind_head | 双手抱头
[DOMAIN:标签] [CAT:表情动作/性爱动作] cumdrip | 精液滴落
[DOMAIN:标签] [CAT:表情动作/性爱动作] human_penetrated | 人类被插入
[DOMAIN:标签] [CAT:表情动作/腿部动作] knees_together_feet_apart | 膝并足分
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_umbrella | 撑伞
[DOMAIN:标签] [CAT:表情动作/基础动作] running | 奔跑
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_head | 抚头
[DOMAIN:标签] [CAT:表情动作/性爱动作] rape | 强奸
[DOMAIN:标签] [CAT:表情动作/其他表情] orgasm_face | 高潮表情
[DOMAIN:标签] [CAT:表情动作/手部动作] hands_on_own_hips | 叉腰
[DOMAIN:标签] [CAT:表情动作/性爱动作] doggystyle | 后入体位
[DOMAIN:标签] [CAT:表情动作/性爱动作] spread_pussy | 掰开阴部
[DOMAIN:标签] [CAT:表情动作/其他表情] looking_ahead | 直视前方
[DOMAIN:标签] [CAT:表情动作/性爱动作] rimming | 舔肛
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_staff | 持杖
[DOMAIN:标签] [CAT:表情动作/基础动作] contrapposto | 对立式平衡
[DOMAIN:标签] [CAT:表情动作/腿部动作] legs_together | 双腿并拢
[DOMAIN:标签] [CAT:表情动作/手部动作] reaching | 伸手
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_in_mouth | 口内射精
[DOMAIN:标签] [CAT:表情动作/性爱动作] threesome | 三人行
[DOMAIN:标签] [CAT:表情动作/性爱动作] missionary | 传教士体位
[DOMAIN:标签] [CAT:表情动作/其他表情] naughty_face | 调皮表情
[DOMAIN:标签] [CAT:表情动作/性爱动作] spread_butt | 张开臀部
[DOMAIN:标签] [CAT:表情动作/其他表情] serious | 严肃
[DOMAIN:标签] [CAT:表情动作/腿部动作] tailwag | 摇尾
[DOMAIN:标签] [CAT:表情动作/性爱动作] pants_down | 褪下裤子
[DOMAIN:标签] [CAT:表情动作/性爱动作] female_on_feral | 女性对兽形
[DOMAIN:标签] [CAT:表情动作/其他表情] brown_nose | 谄媚
[DOMAIN:标签] [CAT:表情动作/手部动作] double_v | 双V手势
[DOMAIN:标签] [CAT:表情动作/性爱动作] female_masturbation | 女性自慰
[DOMAIN:标签] [CAT:表情动作/手部动作] paw_pose | 爪式手势
[DOMAIN:标签] [CAT:表情动作/笑] smirk | 得意笑
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_behind_head | 手放脑后
[DOMAIN:标签] [CAT:表情动作/性爱动作] nipple_play | 乳头玩弄
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_between_legs | 手夹腿间
[DOMAIN:标签] [CAT:表情动作/其他表情] eye_roll | 翻白眼
[DOMAIN:标签] [CAT:表情动作/手部动作] v_arms | V形手臂
[DOMAIN:标签] [CAT:表情动作/其他表情] sideways_glance | 侧视
[DOMAIN:标签] [CAT:表情动作/手部动作] waving | 挥手
[DOMAIN:标签] [CAT:表情动作/基础动作] raised_arm | 举臂
[DOMAIN:标签] [CAT:表情动作/基础动作] arms_at_sides | 手臂垂放
[DOMAIN:标签] [CAT:表情动作/其他表情] panting | 喘息
[DOMAIN:标签] [CAT:表情动作/其他动作] hug_from_behind | 背后拥抱
[DOMAIN:标签] [CAT:表情动作/手放在某地] on_floor | 在地面上
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_flower | 手持花朵
[DOMAIN:标签] [CAT:表情动作/性爱动作] object_insertion | 物体插入
[DOMAIN:标签] [CAT:表情动作/性爱动作] pout | 噘嘴
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_on_balls | 阴囊精液
[DOMAIN:标签] [CAT:表情动作/性爱动作] sucking | 吮吸
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_another's_shoulder | 搭肩
[DOMAIN:标签] [CAT:表情动作/基础动作] adjusting_clothes | 整理衣物
[DOMAIN:标签] [CAT:表情动作/其他动作] hugging_object | 拥抱物体
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_unworn_clothes | 手持未穿衣物
[DOMAIN:标签] [CAT:表情动作/腿部动作] jumping | 跳跃
[DOMAIN:标签] [CAT:表情动作/手部动作] hands_in_pockets | 手插口袋
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_knife | 持刀
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_on_own_cheek | 手贴脸颊
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_overflow | 精液溢出
[DOMAIN:标签] [CAT:表情动作/手部动作] outstretched_hand | 伸出的手
[DOMAIN:标签] [CAT:表情动作/性爱动作] nipple_stimulation | 乳头刺激
[DOMAIN:标签] [CAT:表情动作/性爱动作] balls_deep | 深根入底
[DOMAIN:标签] [CAT:表情动作/其他表情] o_o | O O
[DOMAIN:标签] [CAT:表情动作/其他动作] slap | 掌掴
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_breast | 握乳
[DOMAIN:标签] [CAT:表情动作/其他动作] fighting_stance | 战斗姿态
[DOMAIN:标签] [CAT:表情动作/基础动作] sitting_on_person | 坐在他人身上
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] smoking | 吸烟
[DOMAIN:标签] [CAT:表情动作/手部动作] skirt_hold | 提裙动作
[DOMAIN:标签] [CAT:表情动作/其他表情] blep | 吐舌
[DOMAIN:标签] [CAT:表情动作/性爱动作] panties_aside | 内裤拨开
[DOMAIN:标签] [CAT:表情动作/性爱动作] larger_penetrated | 大体型被进入
[DOMAIN:标签] [CAT:表情动作/手部动作] v_sign | V字手势
[DOMAIN:标签] [CAT:表情动作/手部动作] covering_own_mouth | 掩嘴
[DOMAIN:标签] [CAT:表情动作/性爱动作] deep_throat | 深喉
[DOMAIN:标签] [CAT:表情动作/其他表情] biting_lip | 咬唇
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_bag | 持包
[DOMAIN:标签] [CAT:表情动作/性爱动作] vaginal_fingering | 指入小穴
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_penis | 手握阴茎
[DOMAIN:标签] [CAT:表情动作/性爱动作] small_dom_big_sub | 小主导大服从
[DOMAIN:标签] [CAT:表情动作/蔑视] smug | 得意表情
[DOMAIN:标签] [CAT:表情动作/手部动作] heart_hands | 爱心手势
[DOMAIN:标签] [CAT:表情动作/手部动作] licking_lips | 舔唇
[DOMAIN:标签] [CAT:表情动作/其他动作] arms_tied | 绑臂
[DOMAIN:标签] [CAT:表情动作/手抓着某物] hand_on_penis | 手扶阴茎
[DOMAIN:标签] [CAT:表情动作/其他动作] talking_to_another | 与人交谈
[DOMAIN:标签] [CAT:表情动作/基础动作] reaching_towards_viewer | 伸向观众
[DOMAIN:标签] [CAT:表情动作/手部动作] covered_mouth | 掩口
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_holding | 牵手
[DOMAIN:标签] [CAT:表情动作/性爱动作] grabbing_from_behind | 背后环抱
[DOMAIN:标签] [CAT:表情动作/手部动作] covering_breasts | 遮胸
[DOMAIN:标签] [CAT:表情动作/手部动作] adjusting_eyewear | 调整眼镜
[DOMAIN:标签] [CAT:表情动作/手部动作] covering | 遮盖
[DOMAIN:标签] [CAT:表情动作/性爱动作] penis_in_mouth | 口含阴茎
[DOMAIN:标签] [CAT:表情动作/手部动作] adjusting_hair | 整理头发
[DOMAIN:标签] [CAT:表情动作/基础动作] spread_arms | 张开双臂
[DOMAIN:标签] [CAT:表情动作/其他表情] food_on_face | 脸上食物
[DOMAIN:标签] [CAT:表情动作/其他动作] inviting | 诱人姿态
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_bottle | 持瓶
[DOMAIN:标签] [CAT:表情动作/笑] ahegao | 阿嘿颜
[DOMAIN:标签] [CAT:表情动作/性爱动作] facesitting | 坐脸
[DOMAIN:标签] [CAT:表情动作/腿部动作] yokozuwari | 正座
[DOMAIN:标签] [CAT:表情动作/其他表情] saliva_trail | 唾液痕迹
[DOMAIN:标签] [CAT:表情动作/基础动作] leaning_back | 后仰姿势
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_on_headwear | 手扶头饰
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] food_in_mouth | 口中含食
[DOMAIN:标签] [CAT:表情动作/手放在某地] on_head | 头顶物品
[DOMAIN:标签] [CAT:表情动作/基础动作] arched_back | 弓背
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] drinking | 饮用
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_another's_face | 抚面
[DOMAIN:标签] [CAT:表情动作/其他表情] shocked | 震惊
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_fan | 持扇
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_microphone | 持麦克风
[DOMAIN:标签] [CAT:表情动作/手部动作] claw_pose | 爪形手势
[DOMAIN:标签] [CAT:表情动作/性爱动作] gangbang | 轮奸
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_tray | 持托盘
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_polearm | 持长柄武器
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_own_chin | 手托下巴
[DOMAIN:标签] [CAT:表情动作/腿部动作] bent_legs | 屈腿
[DOMAIN:标签] [CAT:表情动作/性爱动作] back-to-back | 背对背
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_thigh | 手放大腿
[DOMAIN:标签] [CAT:表情动作/基础动作] reading | 阅读
[DOMAIN:标签] [CAT:表情动作/其他表情] w | W字嘴
[DOMAIN:标签] [CAT:表情动作/手部动作] headpat | 摸头
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_poke_ball | 手持精灵球
[DOMAIN:标签] [CAT:表情动作/腿部动作] leg_lift | 抬腿
[DOMAIN:标签] [CAT:表情动作/手部动作] hands_on_own_face | 手贴脸颊
[DOMAIN:标签] [CAT:表情动作/其他表情] talking | 交谈
[DOMAIN:标签] [CAT:表情动作/手部动作] pulling_own_clothes | 拉扯自身衣物
[DOMAIN:标签] [CAT:表情动作/性爱动作] nipple_tweak | 捏乳头
[DOMAIN:标签] [CAT:表情动作/性爱动作] after_vaginal | 事后
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_to_own_mouth | 手捂嘴
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_instrument | 手持乐器
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_from_ass | 肛内射精
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_on_belly | 腹上精液
[DOMAIN:标签] [CAT:表情动作/性爱动作] female_on_anthro | 女性与兽人
[DOMAIN:标签] [CAT:表情动作/性爱动作] orgasm | 高潮
[DOMAIN:标签] [CAT:表情动作/性爱动作] femdom | 女性主导
