[DOMAIN:标签] [CAT:镜头/人物构图] solo | 单人
[DOMAIN:标签] [CAT:镜头/镜头角度] top-down_bottom-up | 自上而下自下而上
[DOMAIN:标签] [CAT:镜头/其他沟通] offscreen_character | 画外角色
[DOMAIN:标签] [CAT:镜头/镜头角度] penetrating_pov | 侵入视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] being_watched | 被注视
[DOMAIN:标签] [CAT:镜头/人物构图] other_focus | 他人焦点
[DOMAIN:标签] [CAT:镜头/人物构图] human_focus | 人类主体
[DOMAIN:标签] [CAT:镜头/镜头角度] wide_shot | 广角镜头
[DOMAIN:标签] [CAT:镜头/特写镜头] hip_focus | 臀部特写
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] face-to-face | 面对面
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] human_pov | 人类视角
[DOMAIN:标签] [CAT:镜头/特写镜头] pov_crotch | 胯部视角
[DOMAIN:标签] [CAT:镜头/镜头角度] over_shoulder | 过肩视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] facing_another | 相对而立
[DOMAIN:标签] [CAT:镜头/效果] x-ray | X光透视
[DOMAIN:标签] [CAT:镜头/特写镜头] food_focus | 食物特写
[DOMAIN:标签] [CAT:镜头/镜头角度] worm's-eye_view | 虫视角
[DOMAIN:标签] [CAT:镜头/人物构图] side-by-side | 并肩排列
[DOMAIN:标签] [CAT:镜头/镜头角度] multiple_angles | 多视角
[DOMAIN:标签] [CAT:镜头/特写镜头] anthro_focus | 人形聚焦
[DOMAIN:标签] [CAT:镜头/人物构图] 2others | 其他两人
[DOMAIN:标签] [CAT:镜头/人物构图] clothed_male_nude_female | 衣着男性与裸体女性
[DOMAIN:标签] [CAT:镜头/镜头角度] perspective | 透视
[DOMAIN:标签] [CAT:镜头/镜头角度] three_quarter_view | 四分之三视角
[DOMAIN:标签] [CAT:镜头/镜头角度] camera_view | 镜头视角
[DOMAIN:标签] [CAT:镜头/人物构图] lower_body | 下半身
[DOMAIN:标签] [CAT:镜头/人物构图] pillarboxed | 柱箱式构图
[DOMAIN:标签] [CAT:镜头/镜头角度] fisheye | 鱼眼镜头
[DOMAIN:标签] [CAT:镜头/人物构图] framed_breasts | 框式构图胸部
[DOMAIN:标签] [CAT:镜头/人物构图] lineup | 队列
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] female_pov | 女性视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] aiming_at_viewer | 瞄准观众
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] facing_to_the_side | 侧身
[DOMAIN:标签] [CAT:镜头/特写镜头] butt_shot | 臀部特写
[DOMAIN:标签] [CAT:镜头/效果] blur_censor | 模糊打码
[DOMAIN:标签] [CAT:镜头/人物构图] behind_another | 身后躲藏
[DOMAIN:标签] [CAT:镜头/镜头角度] sideways | 侧身
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] eye_focus | 视线聚焦
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_forward | 向前注视
[DOMAIN:标签] [CAT:镜头/人物构图] 3others | 其他3人
[DOMAIN:标签] [CAT:镜头/镜头角度] looking_down_at_partner | 俯视伴侣
[DOMAIN:标签] [CAT:镜头/人物构图] group_picture | 集体照片
[DOMAIN:标签] [CAT:镜头/特写镜头] breast_focus | 胸部特写
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] viewer_holding_leash | 观众牵绳
[DOMAIN:标签] [CAT:镜头/效果] partially_underwater_shot | 局部水下镜头
[DOMAIN:标签] [CAT:镜头/效果] tail_censor | 尾部遮挡
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] eye_trail | 视线轨迹
[DOMAIN:标签] [CAT:镜头/特写镜头] in_the_face | 脸上
[DOMAIN:标签] [CAT:镜头/特写镜头] panty_shot | 底裤走光
[DOMAIN:标签] [CAT:镜头/效果] back_focus | 背景虚化
[DOMAIN:标签] [CAT:镜头/特写镜头] head_only | 头部特写
[DOMAIN:标签] [CAT:镜头/镜头角度] pov_doorway | 视角门口
[DOMAIN:标签] [CAT:镜头/其他沟通] cosplay_photo | 角色扮演照片
[DOMAIN:标签] [CAT:镜头/特写镜头] anus_focus | 肛门特写
[DOMAIN:标签] [CAT:镜头/特写镜头] partially_shaded_face | 部分遮脸
[DOMAIN:标签] [CAT:镜头/镜头角度] from_outside | 从外部
[DOMAIN:标签] [CAT:镜头/效果] through_medium | 透过介质
[DOMAIN:标签] [CAT:镜头/特写镜头] cropped_arms | 截断手臂
[DOMAIN:标签] [CAT:镜头/镜头角度] very_wide_shot | 超广角镜头
[DOMAIN:标签] [CAT:镜头/镜头角度] upshirt | 仰视裙底
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] offscreen_male | 画外男性
[DOMAIN:标签] [CAT:镜头/效果] vignetting | 暗角效果
[DOMAIN:标签] [CAT:镜头/特写镜头] hand_focus | 手部焦点
[DOMAIN:标签] [CAT:镜头/特写镜头] object_focus | 物体焦点
[DOMAIN:标签] [CAT:镜头/特写镜头] crotch_focus | 胯部特写
[DOMAIN:标签] [CAT:镜头/特写镜头] pectoral_focus | 胸部特写
[DOMAIN:标签] [CAT:镜头/特写镜头] cropped_head | 头部裁切
[DOMAIN:标签] [CAT:镜头/人物构图] knees_out_of_frame | 膝盖出画
[DOMAIN:标签] [CAT:镜头/效果] through_screen | 穿透屏幕
[DOMAIN:标签] [CAT:镜头/效果] reflection_focus | 倒影焦点
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] facing_ahead | 面向前方
[DOMAIN:标签] [CAT:镜头/镜头角度] pov_across_table | 桌对面视角
[DOMAIN:标签] [CAT:镜头/其他沟通] surrounded | 被包围
[DOMAIN:标签] [CAT:镜头/人物构图] side_by_side | 并排
[DOMAIN:标签] [CAT:镜头/特写镜头] obscured_face | 面容遮蔽
[DOMAIN:标签] [CAT:镜头/效果] misleading_thumbnail | 误导性缩略图
[DOMAIN:标签] [CAT:镜头/特写镜头] face_in_pillow | 枕中面容
[DOMAIN:标签] [CAT:镜头/特写镜头] weapon_focus | 武器特写
[DOMAIN:标签] [CAT:镜头/特写镜头] eyes_in_shadow | 阴影中的眼睛
[DOMAIN:标签] [CAT:镜头/其他沟通] circle_formation | 环形阵型
[DOMAIN:标签] [CAT:镜头/特写镜头] pokemon_focus | 宝可梦特写
[DOMAIN:标签] [CAT:镜头/人物构图] full_composition | 全身构图
[DOMAIN:标签] [CAT:镜头/特写镜头] monster_focus | 怪物特写
[DOMAIN:标签] [CAT:镜头/镜头角度] futanari_pov | 扶她视角
[DOMAIN:标签] [CAT:镜头/特写镜头] armpit_focus | 腋下特写
[DOMAIN:标签] [CAT:镜头/特写镜头] mugshot | 面部特写
[DOMAIN:标签] [CAT:镜头/镜头角度] pov_across_bed | 床上视角
[DOMAIN:标签] [CAT:镜头/镜头角度] fellatio_pov | 口交视角
[DOMAIN:标签] [CAT:镜头/特写镜头] feet_only | 仅足部
[DOMAIN:标签] [CAT:镜头/人物构图] shoulder_peek | 肩头探视
[DOMAIN:标签] [CAT:镜头/特写镜头] pussy_focus | 私处特写
[DOMAIN:标签] [CAT:镜头/人物构图] 5others | 5人其他
[DOMAIN:标签] [CAT:镜头/特写镜头] implied_pantyshot | 暗示性内裤视角
[DOMAIN:标签] [CAT:镜头/镜头角度] shaft_look | 沙发社式构图
[DOMAIN:标签] [CAT:镜头/特写镜头] hair_focus | 头发特写
[DOMAIN:标签] [CAT:镜头/效果] censored_by_text | 文字遮挡
[DOMAIN:标签] [CAT:镜头/特写镜头] cut-in | 切入画面
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] viewer_on_leash | 牵绳观众
[DOMAIN:标签] [CAT:镜头/镜头角度] three_quarter_profile | 四分之三侧面
[DOMAIN:标签] [CAT:镜头/特写镜头] navel_focus | 肚脐特写
[DOMAIN:标签] [CAT:镜头/效果] x-ray_vision | X射线视觉
[DOMAIN:标签] [CAT:镜头/特写镜头] footwear_focus | 鞋履特写
[DOMAIN:标签] [CAT:镜头/特写镜头] extended_downblouse | 延伸式领口窥视
[DOMAIN:标签] [CAT:镜头/镜头角度] view_between_legs | 胯下视角
[DOMAIN:标签] [CAT:镜头/人物构图] piper_perri_surrounded | 被围的派珀·佩里
[DOMAIN:标签] [CAT:镜头/特写镜头] creature_focus | 生物聚焦
[DOMAIN:标签] [CAT:镜头/其他沟通] penis_out_of_frame | 框外阴茎
[DOMAIN:标签] [CAT:镜头/镜头角度] taker_pov | 拍摄者视角
[DOMAIN:标签] [CAT:镜头/特写镜头] floating_head | 漂浮头部
[DOMAIN:标签] [CAT:镜头/效果] photobomb | 照片炸弹
[DOMAIN:标签] [CAT:镜头/特写镜头] plant_focus | 植物特写
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] pov_cheek_grabbing_(meme) | 主观视角捏脸（梗）
[DOMAIN:标签] [CAT:镜头/效果] lens_flare_abuse | 滥用镜头光晕
[DOMAIN:标签] [CAT:镜头/特写镜头] clothes_focus | 服装特写
[DOMAIN:标签] [CAT:镜头/效果] non-circular_lens_flare | 非圆形镜头光晕
[DOMAIN:标签] [CAT:镜头/特写镜头] headshot | 头部特写
[DOMAIN:标签] [CAT:镜头/特写镜头] thigh_focus | 大腿特写
[DOMAIN:标签] [CAT:镜头/效果] unusually_visible | 异常显眼
[DOMAIN:标签] [CAT:镜头/人物构图] size_comparison | 尺寸对比
[DOMAIN:标签] [CAT:镜头/特写镜头] zooming_in | 镜头推进
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_sideways | 侧视
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] back_turned | 背对画面
[DOMAIN:标签] [CAT:镜头/效果] fake_censor | 伪打码
[DOMAIN:标签] [CAT:镜头/特写镜头] under_skirt | 裙底
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] view | 视野
[DOMAIN:标签] [CAT:镜头/特写镜头] face_focus | 面部特写
[DOMAIN:标签] [CAT:镜头/特写镜头] eyes_visible_through_eyewear | 透过眼镜可见双眼
[DOMAIN:标签] [CAT:镜头/镜头角度] under_shot | 仰视视角
[DOMAIN:标签] [CAT:镜头/镜头角度] pov_peephole | 主观视角窥视孔
[DOMAIN:标签] [CAT:镜头/特写镜头] presenting_anus | 肛部特写
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] pov_cheek_warming_(meme) | 视角-暖颊（梗）
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_past_viewer | 目光越过观者
[DOMAIN:标签] [CAT:镜头/特写镜头] mouth_focus | 唇部特写
[DOMAIN:标签] [CAT:镜头/特写镜头] kotori_photobomb | 琴里抢镜
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] eyes_out_of_frame | 视线出框
[DOMAIN:标签] [CAT:镜头/人物构图] back_peek | 背影窥视
[DOMAIN:标签] [CAT:镜头/镜头角度] forced_perspective | 强制透视
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] pov_dating | 主观视角约会
[DOMAIN:标签] [CAT:镜头/人物构图] group_profile | 团体档案
[DOMAIN:标签] [CAT:镜头/特写镜头] looking_inside | 窥视内部
[DOMAIN:标签] [CAT:镜头/特写镜头] pov_breasts | 视角胸部
[DOMAIN:标签] [CAT:镜头/特写镜头] id_photo | 证件照
[DOMAIN:标签] [CAT:镜头/特写镜头] eyewear_view | 眼镜视角
[DOMAIN:标签] [CAT:镜头/特写镜头] leg_focus | 腿部特写
[DOMAIN:标签] [CAT:镜头/人物构图] chibi_on_shoulder | 肩上的Q版角色
[DOMAIN:标签] [CAT:镜头/效果] wing_censor | 翼部审查
[DOMAIN:标签] [CAT:镜头/其他沟通] screen_zoom | 屏幕缩放
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_at_ass | 注视臀部
[DOMAIN:标签] [CAT:镜头/镜头角度] viewed_from_above | 俯视视角
[DOMAIN:标签] [CAT:镜头/效果] emoji_censor | 表情符号遮挡
[DOMAIN:标签] [CAT:镜头/人物构图] arm_out_of_frame | 画面外手臂
[DOMAIN:标签] [CAT:镜头/效果] censored_violence | 暴力打码
[DOMAIN:标签] [CAT:镜头/其他沟通] cropped_arm | 截断手臂
[DOMAIN:标签] [CAT:镜头/特写镜头] ear_focus | 耳部聚焦
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] pov_adoring | 仰慕视角
[DOMAIN:标签] [CAT:镜头/特写镜头] photo_shoot | 摄影
[DOMAIN:标签] [CAT:镜头/镜头角度] extended_upskirt | 扩展裙底视角
[DOMAIN:标签] [CAT:镜头/镜头角度] lap_pov | 膝上视角
[DOMAIN:标签] [CAT:镜头/镜头角度] pov_legs | 腿部主观视角
[DOMAIN:标签] [CAT:镜头/其他沟通] panorama | 全景
[DOMAIN:标签] [CAT:镜头/人物构图] mirror_selfie | 对镜自拍
[DOMAIN:标签] [CAT:镜头/人物构图] family_portrait | 全家福
[DOMAIN:标签] [CAT:镜头/特写镜头] pantyshot_through_reflection | 反射内裤走光
[DOMAIN:标签] [CAT:镜头/镜头角度] from_inside | 从内部
[DOMAIN:标签] [CAT:镜头/特写镜头] lens | 镜头
[DOMAIN:标签] [CAT:镜头/特写镜头] penis_focus | 阴茎特写
[DOMAIN:标签] [CAT:镜头/人物构图] head_to_head | 头对头
[DOMAIN:标签] [CAT:镜头/镜头角度] fixed-point_camera | 定点摄像机
[DOMAIN:标签] [CAT:镜头/其他沟通] multiple_pov | 多视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] cuckold_pov | 绿帽视角
[DOMAIN:标签] [CAT:镜头/特写镜头] fisheye_placebo | 鱼眼安慰剂
[DOMAIN:标签] [CAT:镜头/镜头角度] full_frontal | 全正面
[DOMAIN:标签] [CAT:镜头/特写镜头] pectorals_on_glass | 玻璃压胸
[DOMAIN:标签] [CAT:镜头/人物构图] height_comparison | 身高对比
[DOMAIN:标签] [CAT:镜头/特写镜头] wind_chime_focus | 风铃特写
[DOMAIN:标签] [CAT:镜头/特写镜头] mouth_out_of_frame | 画面外嘴巴
[DOMAIN:标签] [CAT:镜头/人物构图] thigh_peek | 大腿微露
[DOMAIN:标签] [CAT:镜头/人物构图] front_and_back | 正面与背面
[DOMAIN:标签] [CAT:镜头/其他沟通] distant | 远方
[DOMAIN:标签] [CAT:镜头/镜头角度] angle | 角度
[DOMAIN:标签] [CAT:镜头/其他沟通] behind_cover | 掩体后方
[DOMAIN:标签] [CAT:镜头/特写镜头] fruit_focus | 水果特写
[DOMAIN:标签] [CAT:镜头/特写镜头] face_cutout | 面部镂空
[DOMAIN:标签] [CAT:镜头/效果] split_depth | 分镜景深
[DOMAIN:标签] [CAT:镜头/效果] red-eye_effect | 红眼效应
[DOMAIN:标签] [CAT:镜头/其他沟通] off_screen | 画外
[DOMAIN:标签] [CAT:镜头/镜头角度] above | 上方
[DOMAIN:标签] [CAT:镜头/其他沟通] obscured | 遮蔽
[DOMAIN:标签] [CAT:镜头/人物构图] torso_only | 仅躯干
[DOMAIN:标签] [CAT:镜头/特写镜头] drink_focus | 饮品特写
[DOMAIN:标签] [CAT:镜头/人物构图] waist_down | 腰部以下
[DOMAIN:标签] [CAT:镜头/特写镜头] mouth_visible_through_hair | 发间可见嘴
